obsDate,SPRealIndex,sp12fwd,sp36fwd,sp60fwd,sp84fwd,sp120fwd,SPRealValuation,date,next_date,SPValuationLevel
19280131,166.075413812323,0.441645516402869,0.002284926188837,-0.10897723871922,-0.048895002419577,-0.017639177172556,990.485685637801,01/31/1928,02/29/1928,fair
19280229,166.077342369966,0.449697776367293,0.031703260405492,-0.128303978462871,-0.053980681634317,-0.019244784036078,994.706089689071,02/29/1928,03/31/1928,fair
19280331,175.075072401522,0.408096175150584,0.02251198262262,-0.136510362878308,-0.069765006568824,-0.030983933750971,1069.96996193671,03/31/1928,04/30/1928,fair
19280430,186.180621456782,0.324570382253429,-0.028839067669297,-0.129593739991842,-0.069243025920902,-0.041526485529822,1162.81885106464,04/30/1928,05/31/1928,expensive
19280531,190.898462376251,0.303996221285191,-0.064692005550763,-0.08897319116846,-0.062431471625054,-0.042306975076562,1202.9126895517,05/31/1928,06/30/1928,expensive
19280630,182.682640740961,0.380997189073861,-0.056810683221872,-0.052796486641805,-0.050439895567573,-0.035820762922674,1138.19982743223,06/30/1928,07/31/1928,fair
19280731,184.10727477391,0.475647961321295,-0.048777318446963,-0.045303397293146,-0.044497581058841,-0.018882945622126,1150.15763891083,07/31/1928,08/31/1928,fair
19280831,190.146865452531,0.510522080412228,-0.068259402025923,-0.06245129276781,-0.039904661279582,-0.021433887500832,1197.98888482522,08/31/1928,09/30/1928,expensive
19280930,201.23111773071,0.484651301143308,-0.131408414377675,-0.074504311772223,-0.044751217739645,-0.031424159306864,1285.21056855145,09/30/1928,10/31/1928,expensive
19281031,206.595790664734,0.293622454558439,-0.177112152938222,-0.09794358197778,-0.044691904096995,-0.022966701661583,1326.00780771372,10/31/1928,11/30/1928,expensive
19281130,220.640833353647,-0.108974242482123,-0.187445980645342,-0.105397262873618,-0.042352517043126,-0.029254199505089,1434.33151169631,11/30/1928,12/31/1928,expensive
19281231,222.879494432934,-0.077039395631771,-0.242414830995719,-0.103677749149532,-0.043683384131829,-0.033052180278705,1446.99272385012,12/31/1928,01/31/1929,expensive
19290131,239.421875707287,-0.122876738893768,-0.259042478411336,-0.106468742355258,-0.046070709395217,-0.041356196724507,1572.19804403778,01/31/1929,02/28/1929,expensive
19290228,240.761953938729,-0.067263353853463,-0.258813628822836,-0.095928582656462,-0.03915215530793,-0.041933970418038,1575.71504741383,02/28/1929,03/31/1929,expensive
19290331,246.522539812795,-0.048716084940043,-0.261763296701829,-0.109538368462498,-0.038460999682201,-0.044234791686998,1614.40208455047,03/31/1929,04/30/1929,expensive
19290430,246.609336931191,0.005755876072696,-0.324423776846308,-0.106559714742467,-0.038276810702749,-0.056317808131655,1606.66467712314,04/30/1929,05/31/1929,expensive
19290531,248.930873587784,-0.057175744969111,-0.351880297673068,-0.127069685749616,-0.046966774088093,-0.053733246470909,1615.80888590089,05/31/1929,06/30/1929,expensive
19290630,252.284213355857,-0.15840681304642,-0.383259073389258,-0.128330823154947,-0.044045040575704,-0.053281180220337,1632.69050210597,06/30/1929,07/31/1929,expensive
19290731,271.677524684539,-0.225600291288391,-0.38811156808283,-0.149352215402733,-0.04723622638723,-0.057946404195691,1772.66723647308,07/31/1929,08/31/1929,expensive
19290831,287.221038787221,-0.272179983334228,-0.310091755008659,-0.165356973710145,-0.053029499492231,-0.064499325651913,1881.69434113087,08/31/1929,09/30/1929,expensive
19290930,298.75804076942,-0.304510567798448,-0.295857006244904,-0.178305568830295,-0.056771927375166,-0.060673571942128,1957.66161405372,09/30/1929,10/31/1929,expensive
19291031,267.256953821155,-0.325111009864704,-0.302603617572819,-0.157140811731962,-0.034574108273309,-0.048463386481107,1704.43737097755,10/31/1929,11/30/1929,expensive
19291130,196.596665678309,-0.143395541062812,-0.227836704258738,-0.098721723157875,0.012735090073785,-0.020510415520538,1156.48824498773,11/30/1929,12/31/1929,fair
19291231,205.708992883107,-0.221296883950205,-0.245675673280244,-0.104268754530623,0.003759593726302,-0.027222767559209,1215.57390170551,12/31/1929,01/31/1930,expensive
19300131,210.002496400547,-0.20374076484867,-0.237028540815771,-0.110520329910192,0.004221707116837,-0.029038404588873,1236.67592196185,01/31/1930,02/28/1930,expensive
19300228,224.567497436497,-0.187865619225572,-0.280667633090752,-0.128930706331761,-0.00114528882483,-0.036795360936014,1334.44861581626,02/28/1930,03/31/1930,expensive
